gir1.2-gnomebg-4.0:arm64	51~alpha-4	installed
gir1.2-gnomebluetooth-3.0:arm64	47.2-1	installed
gir1.2-gnomedesktop-3.0:arm64	51~alpha-4	installed
gir1.2-gnomedesktop-4.0:arm64	51~alpha-4	installed
gir1.2-gnomeqr-4.0:arm64	51~alpha-4	installed
gir1.2-graphene-1.0:arm64	1.10.8-5build1	installed
gir1.2-gst-plugins-base-1.0:arm64	1.28.7-1	installed
gir1.2-gst-plugins-extra-1.0:arm64	1.28.6-1ubuntu1	installed
gir1.2-gstreamer-1.0:arm64	1.28.6-1	installed
gir1.2-gtk-3.0:arm64	3.24.52-0ubuntu1	installed
gir1.2-gtk-4.0:arm64	4.23.4+ds-3	installed
gir1.2-gudev-1.0:arm64	1:238-7build1	installed
gir1.2-gweather-4.0:arm64	4.4.4-5	installed
gir1.2-handy-1:arm64	1.8.3-4	installed
gir1.2-harfbuzz-0.0:arm64	12.3.2-2	installed
gir1.2-ibus-1.0:arm64	1.5.34-1ubuntu2	installed
gir1.2-javascriptcoregtk-4.1:arm64	2.52.6-1ubuntu1	installed
gir1.2-mutter-51:arm64	51~beta-1ubuntu2	installed
gir1.2-nm-1.0:arm64	1.58.1-1ubuntu3	installed
gir1.2-nma4-1.0:arm64	1.10.6-8ubuntu1	installed
gir1.2-notify-0.7:arm64	0.8.8-1	installed
gir1.2-packagekitglib-1.0	1.3.6-1ubuntu1	installed
gir1.2-pango-1.0:arm64	1.58.0-1	installed
gir1.2-peas-1.0:arm64	1.38.1-7	installed
gir1.2-polkit-1.0:arm64	127-3ubuntu1	installed
gir1.2-rb-3.0:arm64	3.4.9-4ubuntu1	installed
gir1.2-rsvg-2.0:arm64	2.62.1+dfsg-1	installed
gir1.2-secret-1:arm64	0.21.7-2build1	installed
gir1.2-snapd-2:arm64	1.72-0ubuntu3	installed
gir1.2-soup-3.0:arm64	3.6.6-1	installed
gir1.2-upowerglib-1.0:arm64	1.91.3-1	installed
gir1.2-vte-2.91:arm64	0.84.1-1	installed
gir1.2-webkit2-4.1:arm64	2.52.6-1ubuntu1	installed
gir1.2-wnck-3.0:arm64	43.3-1build1	installed
git	1:2.55.0-1ubuntu1	installed
git-man	1:2.55.0-1ubuntu1	installed
gjs	1.89.2-2ubuntu1	installed
glib-networking:arm64	2.80.1-1build2	installed
glib-networking-common	2.80.1-1build2	installed
glib-networking-services	2.80.1-1build2	installed
glycin-loaders	2.2~beta.1+ds-0ubuntu3	installed
glycin-thumbnailers	2.2~beta.1+ds-0ubuntu3	installed
gnome-accessibility-themes	3.28-5	installed
gnome-bluetooth-3-common	47.2-1	installed
gnome-bluetooth-sendto	47.2-1	installed
gnome-calculator	1:50.0-1ubuntu1	installed
gnome-calendar	51~beta-1	installed
gnome-characters	50.0-1	installed
gnome-clocks	50.0-1	installed
gnome-control-center	1:51~rc.1-1ubuntu1	installed
gnome-control-center-data	1:51~rc.1-1ubuntu1	installed
gnome-control-center-faces	1:51~rc.1-1ubuntu1	installed
gnome-desktop3-data	51~alpha-4	installed
gnome-disk-utility	46.1-2ubuntu2	installed
gnome-font-viewer	50.0-2	installed
gnome-initial-setup	51.0-0ubuntu1	installed
gnome-keyring	50.0-1	installed
gnome-keyring-pkcs11:arm64	50.0-1	installed
gnome-logs	50.0-1	installed
gnome-menus	3.38.1-1ubuntu1	installed
gnome-online-accounts	3.58.1-2	installed
gnome-remote-desktop	51~alpha-0ubuntu2	installed
gnome-session-bin	51~beta-0ubuntu2	installed
gnome-session-canberra	0.30-20buntu1	installed
gnome-session-common	51~beta-0ubuntu2	installed
gnome-settings-daemon	51~beta-2ubuntu2	installed
gnome-settings-daemon-common	51~beta-2ubuntu2	installed
gnome-shell	51~beta-0ubuntu1	installed
gnome-shell-common	51~beta-0ubuntu1	installed
gnome-shell-ubuntu-extensions	51.26.10.2ubuntu	installed
gnome-snapshot	50.0-0ubuntu1	installed
gnome-text-editor	50.1-2	installed
gnome-themes-extra:arm64	3.28-5	installed
gnome-themes-extra-data	3.28-5	installed
gnome-user-docs	50.0-0ubuntu1	installed
gnu-coreutils	9.10-1ubuntu2	installed
gnupg	2.4.9-4ubuntu2	installed
gnupg-l10n	2.4.9-4ubuntu2	installed
gnupg-utils	2.4.9-4ubuntu2	installed
gpg	2.4.9-4ubuntu2	installed
gpg-agent	2.4.9-4ubuntu2	installed
gpg-wks-client	2.4.9-4ubuntu2	installed
